38KI,38TU,15KI,15TU,29KI,29TU,16KI,16TU,32KI,32TU,35KI,35TU,40KI,40TU,24KI,24TU,11KI,11TU
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.762733948526321,12.596579154674988,12.8382557058138,12.766561877481081,12.113662823947559,12.61582063567626
14.195564877756173,14.000170815858432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.32877142121394,14.010989109106735,14.451345643442092,14.181020618696804,13.512523863020778,14.102556425363462
12.704829144647075,12.629354396885148,12.675390721950457,12.142165711220468,12.797333953126522,12.874707999108622,12.913578455505732,12.599373783684914,12.422843707850772,12.821911283053973,12.763057500093032,12.660554592066704,13.053664951180822,12.565108824764904,13.167384711286013,12.807102463992013,12.110428730302292,12.298860943070677
NA,NA,11.467606673471455,11.095121561598535,11.718040303425848,11.839044106533233,11.568955505709415,11.655939796554389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.305983975580721,13.55899964280461,13.27893756421082,12.753452613092746,13.533790694283658,13.979994835214312,13.780434495050885,13.268340653303595,13.230028771170819,13.228536303009033,13.506102542354501,13.765299620236323,NA,NA,NA,NA,NA,NA
15.806251147589185,15.62508897743112,15.657079175153216,14.82966423117288,15.895452276792698,16.811276434257636,15.425225988603268,15.675322269081269,15.453636987964297,15.064554581263119,16.75653081424799,15.587957866565235,15.87703718719219,15.491814868536796,15.860528450453515,15.639402765678106,15.433291500632343,15.99194560256801
NA,NA,12.82197714324376,12.079152033615372,13.08245044162199,14.330014587412908,13.14907523385131,12.807140206006011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.448775783913076,12.739331466748054,11.777430608141842,12.399795843248668,12.823544047713636,14.021138193308062,12.158569236169352,12.383843823401858,NA,NA,NA,NA,12.75330751563967,12.848836909380754,12.725460948035003,13.266711671456893,11.46850275001539,12.501501957455703
11.705896655711097,12.155907290260032,NA,NA,NA,NA,NA,NA,12.080869873472228,11.813251143521555,11.892944056765536,11.936542818182978,12.090155863294674,12.18568525703576,12.062309295690008,12.603560019111898,10.805351097670394,11.838350305110708
14.802456273700642,15.29889631342294,14.828902907234001,14.751060902591556,15.158983105843953,15.912664966810949,14.701263369805412,14.95118250908485,14.516642765191426,15.72094949222925,14.66361260837307,15.301500308453397,15.277727546846108,14.900391472060745,15.280057042020502,15.099713409114797,14.64636303009503,15.09980526123354
NA,NA,10.094335468007372,10.379760956387425,10.414449985008478,10.894613571787332,10.994590178043453,10.41670879550357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.621086526584227,12.459521872003938,12.790468815543116,12.101813588037187,12.940472279466865,12.795466074882457,12.2638527976212,12.349751640213702,NA,NA,NA,NA,12.70716140634498,12.442762560515437,12.708448795582491,12.402564649580249,12.618427499939898,12.362460283801479
13.181511320127097,13.121776531402396,13.146412917452775,12.729107957910852,13.362766084034341,14.004450217033487,12.782620402301841,12.884505975855213,12.774305902275563,13.563393356859565,13.299519587657704,12.969356856266172,13.20263780012228,12.943886255754649,13.368840143934461,13.019473666768459,13.141445438117378,13.233580249891281
16.19278958156583,16.048318843046992,16.028868308004665,15.337765195851286,16.262199048835853,16.980628333444944,16.064028356573647,16.049836031128084,15.869085932694382,15.695363513189381,16.75936468093473,16.158402722407153,16.333554413468512,15.940553874011764,16.29654982729762,16.111344584637692,15.70003831205196,16.34128426237093
13.33903903508992,13.80469496306826,13.160017524730732,13.334252631569049,13.5775607707158,15.038014931303058,13.040555517571919,13.280800618583944,13.236876458344085,14.129524008386085,13.157380218162256,13.763687311423908,13.6531829466463,13.642068515691355,13.563369624941812,13.755095745063537,12.918578530359046,13.898906631772451
11.43692052296414,11.112705509850926,11.516101621712227,11.088816571762852,11.486304980261096,11.355758827295453,11.019371543499414,11.182524553914178,NA,NA,NA,NA,11.234389522746298,11.327073068024358,11.26513919233038,11.318557282143992,11.385375325115696,11.118343708084485
14.3359723400445,14.593758279476816,14.376097653363688,14.63783275878763,14.071850826180649,14.433694907707475,14.886434977694423,14.383280734830082,13.888694720651003,15.407682394107773,14.115858578617246,14.447225545666605,14.273218998187577,14.166104976697548,14.447050100963713,14.715223407684313,14.706321915142391,14.481272459888402
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.97094869080816,11.802088112083926,11.750361043385766,11.6333739323035,12.205247153840412,12.023053153139388
NA,NA,11.885076866768397,11.128131583083018,12.171630363979418,11.921914139027091,12.006186612675918,11.924379922700354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.104988843755882,13.512454606859217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.438445578642563,14.28984686739272,13.475342683419026,14.102901588700082,13.738072989124337,13.807720644566576
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.717080766251538,15.568482055001695,14.753977871028,15.381536776309057,15.016708176733312,15.08635583217555
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.179162458934567,13.558763414903908,13.050704565666525,13.313946178852627,13.543227859188155,13.728419867124355
NA,NA,NA,NA,NA,NA,NA,NA,14.572288673934409,14.830056348078735,14.458382543732544,13.408479677261038,15.062206626601487,14.008928421676242,14.828261915664653,13.842715738752654,14.49207819247542,13.66961996933963
12.391942373968476,11.112657756195581,12.665324048042123,11.456618965241773,11.193637135266115,11.168471066906868,11.621912071188031,12.407837103847275,NA,NA,NA,NA,11.92531278164097,11.468534378115917,12.714978346961066,11.499089031988374,11.654346755016928,11.25153909676893
NA,NA,11.110496458334342,9.751080125247245,10.3033659436086,9.751142253814763,10.019220112687737,10.583838984119968,NA,NA,NA,NA,10.851820163894956,9.322627979685766,11.361218941111638,9.331669301028434,10.814268276091958,9.837539215999907
NA,NA,NA,NA,NA,NA,NA,NA,13.12884878286231,13.568706317076728,13.153702541642637,13.231429711260873,12.88912225043204,13.145137605830225,13.46228536090288,13.003107849657896,14.353747531431965,12.770630431008811
NA,NA,12.577887087378585,13.578962348384355,12.626340408693999,12.98096442584161,12.58195578319766,12.694390178657002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.01591544364992,12.919481247116934,12.959807170879536,13.183872293982617,12.830970424735895,13.150744455329594,12.834005512243248,12.846790215129655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.397860610025356,10.593973404624796,9.768779035875426,11.483314524997102,9.77846250303401,10.303576471211162,11.305217225606995,10.336152283225818,9.652015415640497,12.033861702518008,9.576508620316142,10.72128229082569,10.07958416022453,10.79543218505666,10.339842185840789,10.34149465073844,10.107134067801336,11.312014794288764
NA,NA,NA,NA,NA,NA,NA,NA,8.366119721165266,10.747966008042777,8.290612925840911,9.435386596350458,NA,NA,NA,NA,NA,NA
14.10705707206416,10.888841172628718,13.237258148958958,11.722553063258744,12.592321273817799,12.099445288272413,12.259535735593783,13.076581224176952,NA,NA,NA,NA,13.696522959434688,11.684647968635357,13.110816235155896,10.879847143993077,14.13150839166529,11.484352035194329
14.807804922810995,16.05011613160383,15.239665953916022,15.158350338611223,15.304014194748598,16.53369541773012,15.137315529580361,15.200721728658129,15.321564920327353,15.508152621402774,15.435438811275615,15.450685755823892,15.367149807443713,15.73614397746001,15.301909084855218,15.407702976374377,15.145262634545897,15.615594682565241
14.000172618659988,14.89234960978246,14.156784197334794,14.266821244731023,14.490975385832353,15.25177884528934,14.35557302106935,14.155633991070527,14.07008242694268,15.036623784801204,14.516730192451107,14.161608052689928,14.360747714383926,14.65356908340437,14.3169074782523,14.501601916249435,14.201864409783177,14.642876083254187
14.079768432112479,15.394504429478248,14.777656778320024,14.348851716690342,14.652300150424791,15.180364144404452,14.825906018423263,14.637739776509312,14.629740823915311,14.816328524990732,14.743614714863574,14.758861659411851,14.614437255646616,14.883482155623772,14.695912511677511,14.679140326495757,14.481079205956002,15.068767129372537
13.3929008033651,13.113526475817624,13.213672699241394,12.792677746938315,13.430865847209153,13.482669961404158,13.464699802183384,13.134695780571784,12.946100647852932,13.241977827354917,14.087424144278097,12.737351938879504,14.198397248787025,13.342338502525488,13.561090337408272,12.896951313065951,13.250016268253859,12.270488167507589
14.928285771907527,15.481571772393158,15.192906184475516,14.631391228532825,15.339929317156448,15.57421344715821,15.429023189566275,15.062109266012849,15.302830665146896,15.159208333248397,15.394704535918898,14.962971554287225,15.226914670959154,15.330727469737294,15.137464060592343,15.21833713175354,14.93660158187905,15.37952771798074
13.060410661629186,13.137799132550123,13.269667224205755,12.395452129249037,13.179760447416875,13.040844436637911,13.668934888846195,13.039970256182162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.269679947592277,16.27694564297695,16.224456743583037,16.1395356330681,16.328249673091694,16.298444549336704,16.407536856471538,16.241653316156643,16.199914695136872,16.072622356565308,16.735388561399873,16.085325568036428,16.387413568321627,16.238823380910823,16.41115846256426,16.15014133154638,16.54201924472647,15.910320783638161
13.278134878902422,13.819200797000297,13.41386354772797,13.774988643884559,13.56289669106641,13.495650799150972,13.400110696450238,13.644496649428081,13.389342100538476,13.488472777553516,13.563359240627696,13.75349723308579,13.429053470472502,13.713111335399269,13.09946580356258,13.518235438389821,12.878147756775565,14.653993223108486
16.492048809953907,16.3143848125142,16.281517509946532,17.584972613764503,16.334320625699544,16.39968475950661,15.04745474184185,16.771350616645304,16.33664619427144,16.265483928000315,16.503920110553114,16.506817012111355,16.026756021695387,16.88732225882475,15.959931952104457,16.14116935315754,16.799307964514625,16.604813317107595
16.146030292573222,16.127640949803997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.939086266232067,16.156552815076378,15.956971460183041,16.170104378715422,16.304012666837192,16.29428614008754
10.993045612569755,10.777189901787644,10.555326001132428,12.161022060393108,9.963335797943756,10.738723445691356,11.04653999782138,10.845759240090178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,13.58905726845163,13.782292371105115,13.185600447752545,13.92993455399888,12.974505380557211,13.45384032770622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,11.985996905778851,11.25601166191445,11.78613031372819,11.84880411045664,12.40444600456227,11.592219763049695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.347613068987503,12.09351951715482,12.017314850226198,11.745919665890984,13.113220225154011,12.636470981131755
NA,NA,10.095435469484332,9.77114015742379,10.101354860694414,9.661712102440962,9.782707907126902,9.714497726663268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.40665483920292,17.182899505449303,15.529079238840616,16.361572957031587,14.891027970887523,16.41002563802748
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.40665483920292,17.182899505449303,15.529079238840616,16.361572957031587,14.891027970887523,16.41002563802748
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.40665483920292,17.182899505449303,15.529079238840616,16.361572957031587,14.891027970887523,16.41002563802748
14.501433121869123,14.358650159050669,14.4229373469317,14.15674240544389,14.41342049536409,14.409154592996241,14.472684549256737,14.70531045276671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,12.913217161830037,12.60145218124682,12.915050430706632,12.476984314954866,12.87881546884175,12.89943022686343,NA,NA,NA,NA,12.982531115457867,12.793481625062777,12.990259938186439,12.783807328855618,12.394893713546187,12.73997606333465
10.826605398619288,11.073306405563331,11.126726248758642,11.114681337222562,10.492949542543714,10.91831343493457,11.063755601430964,10.983309247657436,12.146735611303248,9.622403067840914,11.986898629018581,10.043786300202509,11.071449317645879,10.906141171534394,11.313362698453822,10.694387318468518,10.992279797846965,10.722115108598302
12.495321255601421,13.223448971488757,12.842782352856004,12.80156742954584,12.74073557571983,13.094799637662428,12.858650262796283,12.817775422690191,12.27643812992166,13.817340485045305,12.295760830916182,13.048001008297229,12.800836938394967,12.953916882584457,12.950665125965461,12.418056451572113,12.960845705131394,13.071989577622181
13.2541525615901,13.825327717029186,13.672541404636034,13.561138867126624,13.00813055135224,13.72940465883311,13.751793400088212,13.515431953821674,NA,NA,NA,NA,13.825451471997102,13.456125875234784,13.858582357302877,13.057457126701976,13.468499341522334,13.57232466309882
11.513687798717521,12.391493305925616,12.02483936985245,11.277004203782424,11.476452646596131,12.685806764990334,12.316117929225994,11.935322399482084,11.680615166663745,12.237262121212257,12.165448464508437,11.727036456901835,12.027254337438379,11.963038774219445,12.809167554607331,12.44877549746672,11.142122834118663,11.325184316078879
12.059904307950546,11.702919442291481,11.825134107383109,11.516234068470977,11.3950056583681,12.445671859645403,12.34540616846961,11.761019388388894,11.60943648946319,12.166083444011702,12.094269787307882,11.65585777970128,11.917434703924796,11.899713096388272,12.496182458564325,12.190710766459118,11.257188583925513,11.527241641464071
NA,NA,NA,NA,NA,NA,NA,NA,12.770488831596559,13.130336298302346,12.895802541048027,13.137259731124828,NA,NA,NA,NA,NA,NA
11.021586584801103,12.02551218731108,11.495576688214854,11.449901769098915,10.60240004884789,12.685534365541066,11.463403765119171,11.444479679514615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,10.614462610479048,10.542695955600099,11.060212537726386,10.986852819749107,NA,NA,NA,NA,NA,NA
11.186758767868117,11.510244121794948,11.719846796783084,10.942791455985748,11.072800178891729,11.68127403933915,11.20028650109705,11.474009696892413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.583842196938766,12.620212663060359,12.654381301190032,12.807626409621857,12.427484533471464,12.604818543077801,12.586049444691621,12.531804347944647,12.321949425002591,13.091816831026557,12.450523070455253,12.543820393513881,12.533699905962678,12.545995430299614,12.469287948241247,12.597603553919969,12.568081968108954,12.897495773464957
13.61786848138604,13.752431510202797,13.998637312622325,13.165982291150858,13.565090466924339,13.801274541135761,13.53987496325988,14.040040399673348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,12.404717240613108,11.992742185304943,12.166990599846917,12.29129445879637,12.086757111705458,12.222620221576681,12.156318949584637,12.31950624473711,12.37258253968496,11.928340144555612,12.170479182623106,12.35305474824073,12.326432574256545,13.27093721388215,11.317092751027833,11.727125347813116
NA,NA,13.977307310617473,13.360092320085712,14.122130487401073,14.152784573743453,14.11701467657543,14.055020401157247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.071225969889328,12.981651758666962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.076579584858312,12.794346570225997,12.908518763323672,12.934119406134299,13.024805364325672,13.420263496800896
11.64647162592317,12.394757513576227,11.854703207807281,12.040108372044772,11.955296683777556,11.98446051459028,12.366502364512991,11.922616275765305,NA,NA,NA,NA,12.122472452269834,11.901754408795503,12.225874359195066,12.1303217840673,11.90877785352257,11.83448656064792
13.448387105917854,13.453622959927843,13.394510600834046,13.890845751368254,13.076733819318417,13.408307853261796,13.548458500735585,13.387173672019056,13.42811442552267,13.810232076517684,13.570388276297665,12.995285353353419,13.39658568599736,13.441571538797843,13.795437368792204,13.729616410825653,13.159783227879275,13.183035965244823
13.861809220373917,14.04376508248588,13.973511206711933,13.690966257139547,14.054204384177737,13.656938420947576,14.706478391475532,13.6346242481271,NA,NA,NA,NA,14.082423851233663,14.415621283356366,13.84235299050907,13.838424995127776,14.027554082785912,13.510345705566634
11.875069082442314,11.515604248775896,11.798577048297586,11.706762112822881,11.604960377110212,11.707364276414038,11.725316130658255,11.629040048351714,11.567338743308678,11.453716145439358,11.944242719639735,11.816049054048683,11.88346282250615,11.625324052959659,11.797775328962782,11.890111822034061,11.324157187232927,11.651188779959107
12.456907372794998,12.44376135901603,12.659361510734682,12.279959549179972,12.364944035862509,12.359970520420047,12.289043694413133,12.748726884822814,12.604928858582127,12.286636241885862,12.146042539065622,12.763729824088493,NA,NA,NA,NA,NA,NA
13.390265161595348,13.384163670807503,13.470874593838966,12.992124801821797,13.236087302457177,13.254493833614008,14.011191052785817,13.358514912690806,13.519875285633045,13.15973028708791,13.327396148040815,13.541855944043942,13.561686348192422,13.470400779261457,13.314404386811272,13.213442188095842,13.622250223761311,13.141102571086261
15.542777351055333,15.565583334784668,15.606797451138672,15.212264144169755,15.650622350341486,15.923495139150578,15.441654272050641,15.49024870066896,15.615034726519136,15.387482449291019,15.78724863593627,15.426955559933633,15.554176965041481,15.491625983027255,15.693590557726711,15.572039852010864,15.490521589572555,15.523127110141228
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.252206583669226,14.912364368636105,15.299567657185836,15.306378264516644,14.519522187607219,14.253137969065396
13.965952774692068,13.804918653661916,14.114054814920637,13.513529874975964,14.057417918041631,14.384722065474547,13.496431713453253,13.746457898195926,14.036595161169835,13.909212422844863,14.078008746609047,13.517926526084224,14.00640222251304,13.785889271464304,14.07510751176665,13.69286101982208,13.932280173555272,13.82007408594062
13.169530683828206,13.002005764085382,13.348767263574238,12.677932289894592,13.038540398074009,13.450234516343102,12.974424550023787,13.024710325831066,13.487890119600625,12.565297729262689,13.422463968667532,12.867421078296346,13.10358493084745,12.920762448281545,13.25662592192313,12.945482357565972,13.137875274242251,13.150278410880452
12.064222482983164,12.414448325664646,12.255244039164518,12.655149216409187,12.204137364754343,12.281981299383409,11.854573429149918,12.18492707708211,12.264744911014596,12.183302217400048,12.20619852448295,12.30309596439806,12.361814453331055,12.697979071976917,12.077146308022678,12.434222344363,11.565711122647027,12.299139125602801
14.343848803108799,14.084884788968012,14.359119157212225,13.64245415874696,14.21035231739375,14.384906406967103,14.401566501917921,14.287802233992496,14.37583868315517,14.083306333006046,14.659882543938302,13.73843962405412,NA,NA,NA,NA,NA,NA
12.260248317068571,12.109523492920056,11.744227509541576,12.067302766828083,12.717231243919406,12.37676504607123,11.996628098380034,12.2071607652256,12.326752862863897,11.940180299769592,12.25383658398304,12.218773873360755,12.006899723321267,12.166606207649266,11.978395139449587,12.105870286580378,11.625223728901052,13.226320344064382
12.875316953903548,13.019632817662272,13.608325656234538,12.72049014326284,13.011949107635786,13.234132698837321,12.361013710044418,12.748937998682567,13.147736791739508,12.457594448994339,12.895150663678272,13.289417638719534,12.769488704109857,12.929195188437857,12.740984120238178,12.86845926736897,12.387812709689642,13.988909324852973
13.049836166567875,13.158581982000548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.215688530469007,13.052561106157276,13.58326396285984,13.365670810293842,12.432029578688548,12.97604045723673
12.58289304847023,12.176178515077124,12.411408182972849,12.029963241055615,12.42422130806553,12.859505445764007,12.187735242289069,12.364381270495063,13.40398272465289,12.152470593203718,12.73355266208077,11.228137147157364,12.708964692343201,12.182949247582737,12.306812771757045,12.063806032118126,12.282934184227866,12.731747762613157
